Number, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ
12464, 0.5243275, 1.4413021, 9.7251978, -0.9618320, 4.8549619, 5.3893127
12465, 0.6607963, 1.2976507, 9.7419567, -1.4045801, 2.5572519, 4.2900763
12466, 0.4070122, 1.1755470, 9.9358864, -1.4427481, 1.0229008, 3.6106870
12467, 0.4812321, 1.0654143, 10.1513634, -1.1450381, 0.7175573, 3.7938931
12468, 0.5458752, 1.0366840, 10.1034794, -1.2290076, 3.2519083, 3.9083970
12469, 0.4860204, 1.0007712, 9.9765873, -1.7938931, 5.5267177, 4.6488547
12470, 0.4620786, 0.9097920, 9.9622221, -3.0916030, 6.8473282, 5.6259542
12471, 0.3974355, 0.9073978, 9.9526453, -4.0992365, 6.7480917, 6.3969464
12472, 0.4620786, 0.8762733, 10.0484133, -3.3816793, 5.6488547, 7.1984735
12473, 0.7230452, 0.8690908, 10.1729107, -2.0839694, 4.6946564, 7.5267177
12474, 0.9576758, 0.8810617, 10.1274214, -0.6335878, 4.0763359, 5.8320613
12475, 1.0414724, 0.9026094, 10.0508070, 0.3893130, 4.0381680, 2.9923663
12476, 0.8690908, 0.9337339, 10.1058741, 1.2824427, 2.3587787, 0.5343512
12477, 0.5961532, 0.8666966, 10.0675669, 2.8320611, -0.1221374, -0.9618320
12478, 0.4596844, 0.8666966, 9.8640604, 3.1984732, -1.4045801, -1.1450381
12479, 0.4261657, 0.8906385, 9.7395630, 1.3664122, 0.0763359, -0.4198473
12480, 0.3926471, 0.9002152, 9.7204094, -1.8091604, 2.0839694, 0.8778626
12481, 0.4309541, 0.9864060, 9.9191265, -4.2977099, 4.7404580, 1.7328244
12482, 0.4046180, 0.9864060, 10.0699606, -5.3664122, 6.0916033, 2.2748091
12483, 0.4429250, 1.0366840, 10.1872759, -4.5572519, 5.8167939, 2.4656489
12484, 0.5386927, 1.0773853, 10.2543135, -2.2290077, 3.5801528, 1.0534351
12485, 0.6440369, 1.1875180, 10.0484133, 0.1297710, -1.3893130, -1.3511450
12486, 0.7637464, 1.2713146, 9.8760319, 1.4045801, -4.8473282, -4.3129773
12487, 0.7350162, 1.3838415, 9.7515335, 0.1297710, -4.3053436, -6.4198475
12488, 0.6368544, 1.4365137, 9.8065996, -2.0763359, -0.6335878, -7.3664122
12489, 0.4070122, 1.3575054, 9.8784256, -3.6488550, 2.4961832, -7.1755724
12490, 0.2011119, 1.3072275, 10.0460186, -3.6335878, 2.4580152, -5.8473282
12491, 0.0287303, 1.4293311, 10.0244713, -2.4274809, 0.7786260, -3.9618320
12492, 0.2537841, 1.5370697, 10.0412302, -0.7099237, -0.1374046, -2.4045801
12493, 0.4501076, 1.7286048, 9.9023676, -0.3511450, 0.5801527, -2.2442749
12494, 0.4908088, 1.9225341, 9.6988611, -1.0534351, 1.6793894, -3.0839694
12495, 0.4525018, 2.0757623, 9.7443514, -1.1679389, -0.1755725, -3.4122138
12496, 0.5243275, 2.3175755, 9.6054878, -1.1984733, -3.1526718, -4.5038166
12497, 0.8283895, 2.5881188, 9.8065996, -1.1297710, -5.0381680, -6.1374044
12498, 1.1994889, 2.8778157, 9.7922344, -2.1374047, -3.0000000, -8.9770994
